Repo,Description
https://github.com/textbrowser/smoke,Neither snow nor rain nor heat nor gloom of night stays these violet couriers from the swift completion of their appointed rounds. Completed.
https://github.com/textbrowser/spot-on,"Spot-On is an interstellar dolphin-propelled science vessel sailing on the winds of quantum chaos. Now with Ultra StarBeams! AMD, ARM, Alpha, PowerPC, Sparc64, etc. Completed."
https://github.com/Titor8115/mandown,man-page inspired Markdown viewer
https://github.com/torpoker/app,Torpoker PyQt5 App
https://github.com/tremc/tremc,Curses interface for transmission
https://github.com/trizen/straw-viewer,"**DEPRECATED** A lightweight YouTube client for Linux, using the API of invidio.us"
https://github.com/tulir/gomuks,A terminal based Matrix client written in Go.
https://github.com/TyberiusPrime/i3-instant-layout,
https://github.com/uncss/uncss,Remove unused styles from CSS
https://github.com/uowuo/abaddon,An alternative Discord client made with C++/gtkmm
https://github.com/ustuehler/bunkai,"Decompose media content with subtitles into flash cards (e.g., for Anki)"
https://github.com/uTox/uTox,µTox the lightest and fluffiest Tox client
https://github.com/v1cont/yad,Yet Another Dialog
https://github.com/vmonaco/keystroke-obfuscation,Obfuscate keystroke timings to help protect privacy
https://github.com/vmonaco/kloak,Keystroke-level online anonymization kernel: obfuscates typing behavior at the device level.
https://github.com/volatide/concord,(really WIP) Discord client made in Qt5
https://github.com/vxiiduu/picochan,Fast JS-free imageboard engine in LuaJIT using SQLite
https://github.com/WhyNotHugo/docker-makepkg,A Docker image that builds a PKGBUILD.
https://github.com/windwp/i3-master-stack,I3wm master and stack layout
https://github.com/wlanboy/kanbantabs,golang based console kanban board
https://github.com/wofr06/lesspipe,lesspipe (formerly on sourceforge)
https://github.com/wustho/epr,CLI Epub Reader
https://github.com/xslightz/binance-simulator,just a simulator.
https://github.com/xuac/warezz,It's illegal cuz they can't tax you!
https://github.com/xwmx/bash-boilerplate,A collection of Bash scripts for creating safe and useful command line programs.
https://github.com/zoff99/ToxCam,Tox Cam
https://github.com/zoff99/ToxProxy,
